"Built by Nordhealth - trusted by 30,000+ Nordic healthcare professionals",Udviklet af Nordhealth – betroet af mere end 30.000 sundhedsprofessionelle i Norden
AI documentation that protects clinical judgement,"AI-dokumentation, der værner om dit kliniske skøn."
Turn every consultation into documentation you trust.,"Gør hver konsultation til dokumentation, du kan stole på. "
"High-quality, personalized clinical notes in seconds designed to protect your clinical judgment.",Personlige kliniske notater af høj kvalitet på få sekunder - skabt til at beskytte dit kliniske skøn.
General Practitioners,Almen praksis
Care is human. Admin doesn’t have to be.,Omsorg er menneskelig. Administration behøver ikke være det.
"Nordhealth Nora automates your documentation with clinical precision and quality, capturing the details that matter to strengthen your professional judgment. By generating all essential GP documents, including visit summaries, referrals, and sick notes - from a single consultation, it significantly reduces your administrative burden during the active workday. You maintain absolute control with zero diagnostic automation, ensuring every note remains entirely your own.","Nordhealth Nora automatiserer din dokumentation med klinisk præcision og kvalitet og indfanger detaljer til at styrke din faglige vurdering. Ved at generere alle nødvendige dokumenter til den alment praktiserende - herunder journalnotater, henvisninger og lægeerklæringer - ud fra blot én konsultation reducerer nora din administrative byrde i løbet af arbejdsdagen markant. Du bevarer fuld kontrol med ??, så hvert eneste notat forbliver fuldkommen dit eget."
Psychologists & Psychotherapists,Psykoterapi
Documentation without losing therapeutic depth.,Dokumentation uden at miste terapeutisk dybde.
"Most AI assistants can write notes, but Nordhealth Nora is also designed specifically to enhance your clinical judgment during therapeutic work. It structures high-quality clinical notes in your own style, allowing you to stay fully present with the patient without the distraction of a keyboard. By removing repetitive admin and providing a private space for your notes, it helps you stay clinically aware and mentally prepared between sessions.","De fleste AI-assistenter kan skrive noter, men nordhealth nora er udviklet specifikt til at understøtte dit kliniske skøn i det terapeutiske arbejde. nora strukturerer kliniske notater i høj kvalitet - i din egen stil - så du kan være fuldt til stede med klienten. Ved at fjerne repetitiv administration og give dig et privat rum til dine noter hjælper nora dig med at bevare overblik og prioritere mental forberedelse mellem sessioner."
Physiotherapists,Fysioterapi
Hands on the patient. Nordhealth Nora does the rest.,Fokus på klienten. Nordhealth Nora klarer resten.
"Nora helps physiotherapists capture accurate, structured notes in seconds—even in the middle of a packed, hands-on schedule. By using hands-free dictation during sessions, you can record assessments, tests, and exercises as they happen, ensuring your goals and treatment plans are clearly organized the moment the treatment ends. Focus fully on treatment rather than typing, ending your day with energy and professional consistency instead of a documentation backlog.","Nora hjælper fysioterapeuter med at indfange præcise, strukturerede notater på få sekunder - selv i en travl, hands-on hverdag. Med håndfri diktering under behandlingen kan du dokumentere undersøgelser, tests og øvelser, mens de udføres, så dine mål og behandlingsplaner er tydeligt struktureret, så snart behandlingen slutter. Fokuser fuldt ud på behandling frem for tastning - og afslut dagen uden dokumentations­efterslæb."
Speech Therapists,Logopæder
"Precision in every note, for every patient story.",Præcision i hvert notat - plads til hver klients historie.
"Speech and language therapy requires exactness that traditional documentation often misses. Nordhealth Nora captures the intricate details of every session, allowing you to track linguistic development and cognitive milestones with absolute accuracy. It automatically structures complex assessments into professional drafts that reflect your exact style, ensuring your records are consistent and thorough. Spend your time focusing on the patient’s development, knowing that the critical data points are being captured.","Tale- og sprogterapi kræver en nøjagtighed, som traditionel dokumentation ofte ikke fanger. nordhealth nora indsamler de komplekse detaljer fra hver session og gør det muligt at følge sproglig udvikling og kognitive milepæle med høj præcision. nora strukturerer automatisk komplekse observationer i professionelle notater, der passer til din stil, så dine journaler altid er udførlige og konsekvente. Brug din tid på klienters udvikling - og lad de vigtige detaljer blive dokumenteret automatisk."
ALL Specialties,Alle specialer
A clinical engine for every specialty.,En klinisk motor til alle specialer.
"Nora is built to support the full spectrum of care. Whether you use SOAP, DAP, or custom templates, our AI adapts to your specific clinical language and terminology—ensuring your professional judgment is always reflected, regardless of your field.","Nora er bygget til at understøtte hele spektret af klinisk arbejde. Uanset om du bruger SOAP, DAP eller egne skabeloner, tilpasser vores AI sig dit faglige sprog og terminologi - så dit professionelle skøn altid afspejles, uanset dit speciale."
We are changing the way AI supports clinical work,"Vi ændrer måden, AI understøtter klinisk arbejde på."
"We aren't just automating notes. We are protecting the space between consultation and record. High quality, structured documentation, finalized by you. Every feature we add is crafted with your input, built by Nordhealth, trusted by 30,000 + nordic healthcare professionals.","Vi automatiserer ikke bare journalnoter. Vi beskytter rummet mellem konsultation og journalføring. Dokumentation i høj kvalitet, struktureret og færdiggjort af dig. Hver funktion, vi tilføjer, er udviklet med dit input, bygget af Nordhealth og betroet af mere end 30.000 sundhedsprofessionelle i Norden."
Launch offer: only €49 per month – available for a limited time,
Features,
GDPR-compliant & EU-hosted,GDPR-klar & EU-hostet:
"All data is processed on secure European servers. Original audio is never stored, reused, or retained, and no data is used for AI model training. Read more about our security here.","Alle data behandles på sikre europæiske servere. Rå lyd gemmes, genbruges eller "
Session transcription,Sessionsudskrift:
Capture the entire conversation and any background information you add. Nordhealth Nora converts them into clear text that you can use immediately in your notes – always clinically reviewed and secure.,"Indfang hele samtalen og anden relevant kontekst. Nordhealth nora omsætter det til tydelig tekst, som du kan bruge direkte i journaler og dokumenter - altid og GDPR-sikker."
Live dictation,Live diktering
Naturally dictate your observations and thoughts during or after the appointment. Nora converts your words into clear and accurate text directly for documentation.,"Tal naturligt under eller efter sessionen. nora omdanner dine ord til klar, præcis tekst direkte i de rette felter - uanset om du skriver journalnotat, medicinsk dokument eller interne noter."
Ask Nora to help format your notes,Få noras hjælp til at forme dine journalnotater
"Make them shorter, longer, clearer, or more like your own style. You can also create new documents based on the same session, which you always review and approve before saving.","bed nora gøre dem kortere, længere, klarere eller mere i din egen stemme. Du kan også få lavet helt nye dokumenter ud fra sessionen, som altid vil gennemses og godkendes af dig, før de gemmes."
Private notes,Dine noter
"A private section separate from the official patient record for your own notes and background information. It allows you to freely process clinical observations, assumptions, and reflections between appointments.","Et privat rum, adskilt fra den officielle kliniske journal, til dine egne overvejelser og kontekst. Giver dig mulighed for frit at bearbejde fornemmelser og observationer mellem sessioner."
Stay present with your patient,PRØV DET NU
4h+,4+ timer
Time saved every week,Tid du får tilbage hver uge
8000+,8000+
Files added weekly to private notes,Filer tilføjet til
Note quality,Kvaliteten af notatet
Most valued by Nordhealth Nora users,Er hvad Nordhealth Nora brugere er mest tilfredse med
Pricing,PRISSIDE
Choose the right plan for you,Klinisk dokumentation - klaret i realtid.
Choose from two different packages and optional add-ons - getting started is easy,"Vælg den plan, der passer bedst til dit arbejde - hvad end du er enkeltpraktiserende eller sidder i et team."
Monthly,
"Previously €89 / month
€49
/ month (excl. VAT)
14-day free trial

valid until 28.2.2026",
Annual,
Previously €75 / month€39/ month (excl. VAT)annual billing €468 14-day free trial valid until 28.2.202,
Multi-User,
Custom pricing,
Contact us to discuss customized pricing,